source,target
4721,2295
2295,4721
4721,1973
1973,4721
4721,2952
2952,4721
4721,4361
4361,4721
4721,3988
3988,4721
4721,3667
3667,4721
4721,308
308,4721
2295,1973
1973,2295
2295,2952
2952,2295
2295,4361
4361,2295
2295,3988
3988,2295
2295,3667
3667,2295
2295,308
308,2295
1973,2952
2952,1973
1973,4361
4361,1973
1973,3988
3988,1973
1973,3667
3667,1973
1973,308
308,1973
2952,4361
4361,2952
2952,3988
3988,2952
2952,3667
3667,2952
2952,308
308,2952
4361,3988
3988,4361
4361,3667
3667,4361
4361,308
308,4361
3988,3667
3667,3988
3988,308
308,3988
3667,308
308,3667
4819,4202
4202,4819
4819,3054
3054,4819
4819,373
373,4819
4202,3054
3054,4202
4202,373
373,4202
3054,373
373,3054
3621,4357
4357,3621
3621,699
699,3621
4357,699
699,4357
4389,3330
3330,4389
4389,4047
4047,4389
3330,4047
4047,3330
4836,4389
4389,4836
4836,3330
3330,4836
4836,4047
4047,4836
4389,3330
3330,4389
4389,4047
4047,4389
3330,4047
4047,3330
4389,3330
3330,4389
4389,4047
4047,4389
3330,4047
4047,3330
4389,3330
3330,4389
4389,4047
4047,4389
3330,4047
4047,3330
4389,3330
3330,4389
4389,3676
3676,4389
4389,4047
4047,4389
4389,2752
2752,4389
4389,946
946,4389
4389,5
5,4389
3330,3676
3676,3330
3330,4047
4047,3330
3330,2752
2752,3330
3330,946
946,3330
3330,5
5,3330
3676,4047
4047,3676
3676,2752
2752,3676
3676,946
946,3676
3676,5
5,3676
4047,2752
2752,4047
4047,946
946,4047
4047,5
5,4047
2752,946
946,2752
2752,5
5,2752
946,5
5,946
4389,2752
2752,4389
2892,2529
2529,2892
2892,2652
2652,2892
2892,2542
2542,2892
2529,2652
2652,2529
2529,2542
2542,2529
2652,2542
2542,2652
1690,1873
1873,1690
1405,4129
4129,1405
1405,1245
1245,1405
4129,1245
1245,4129
3659,2462
2462,3659
3659,4192
4192,3659
3659,4749
4749,3659
3659,3499
3499,3659
2462,4192
4192,2462
2462,4749
4749,2462
2462,3499
3499,2462
4192,4749
4749,4192
4192,3499
3499,4192
4749,3499
3499,4749
1359,3475
3475,1359
1359,3369
3369,1359
3475,3369
3369,3475
1526,1256
1256,1526
1526,4247
4247,1526
1256,4247
4247,1256
1359,3475
3475,1359
1359,951
951,1359
1359,1935
1935,1359
1359,3475
3475,1359
951,1935
1935,951
951,3475
3475,951
1935,3475
3475,1935
1757,451
451,1757
1757,4886
4886,1757
1757,4036
4036,1757
451,4886
4886,451
451,4036
4036,451
4886,4036
4036,4886
1757,451
451,1757
1757,1843
1843,1757
1757,4036
4036,1757
451,1843
1843,451
451,4036
4036,451
1843,4036
4036,1843
1373,1757
1757,1373
1373,2670
2670,1373
1373,3142
3142,1373
1373,451
451,1373
1373,973
973,1373
1373,4036
4036,1373
1757,2670
2670,1757
1757,3142
3142,1757
1757,451
451,1757
1757,973
973,1757
1757,4036
4036,1757
2670,3142
3142,2670
2670,451
451,2670
2670,973
973,2670
2670,4036
4036,2670
3142,451
451,3142
3142,973
973,3142
3142,4036
4036,3142
451,973
973,451
451,4036
4036,451
973,4036
4036,973
1757,451
451,1757
1757,4886
4886,1757
1757,4036
4036,1757
451,4886
4886,451
451,4036
4036,451
4886,4036
4036,4886
1757,451
451,1757
1757,4036
4036,1757
451,4036
4036,451
1373,2670
2670,1373
4594,410
410,4594
1398,1872
1872,1398
1398,327
327,1398
1398,2927
2927,1398
1872,327
327,1872
1872,2927
2927,1872
327,2927
2927,327
4851,1398
1398,4851
4851,1872
1872,4851
4851,327
327,4851
1398,1872
1872,1398
1398,327
327,1398
1872,327
327,1872
3879,1409
1409,3879
3879,2927
2927,3879
1409,2927
2927,1409
3316,699
699,3316
1851,3711
3711,1851
1851,3467
3467,1851
1851,3482
3482,1851
1851,127
127,1851
1851,3330
3330,1851
1851,3835
3835,1851
1851,4047
4047,1851
1851,1680
1680,1851
1851,1682
1682,1851
1851,4122
4122,1851
3711,3467
3467,3711
3711,3482
3482,3711
3711,127
127,3711
3711,3330
3330,3711
3711,3835
3835,3711
3711,4047
4047,3711
3711,1680
1680,3711
3711,1682
1682,3711
3711,4122
4122,3711
3467,3482
3482,3467
3467,127
127,3467
3467,3330
3330,3467
3467,3835
3835,3467
3467,4047
4047,3467
3467,1680
1680,3467
3467,1682
1682,3467
3467,4122
4122,3467
3482,127
127,3482
3482,3330
3330,3482
3482,3835
3835,3482
3482,4047
4047,3482
3482,1680
1680,3482
3482,1682
1682,3482
3482,4122
4122,3482
127,3330
3330,127
127,3835
3835,127
127,4047
4047,127
127,1680
1680,127
127,1682
1682,127
127,4122
4122,127
3330,3835
3835,3330
3330,4047
4047,3330
3330,1680
1680,3330
3330,1682
1682,3330
3330,4122
4122,3330
3835,4047
4047,3835
3835,1680
1680,3835
3835,1682
1682,3835
3835,4122
4122,3835
4047,1680
1680,4047
4047,1682
1682,4047
4047,4122
4122,4047
1680,1682
1682,1680
1680,4122
4122,1680
1682,4122
4122,1682
2424,1238
1238,2424
2424,3330
3330,2424
2424,1102
1102,2424
2424,4047
4047,2424
2424,946
946,2424
2424,4247
4247,2424
2424,5
5,2424
1238,3330
3330,1238
1238,1102
1102,1238
1238,4047
4047,1238
1238,946
946,1238
1238,4247
4247,1238
1238,5
5,1238
3330,1102
1102,3330
3330,4047
4047,3330
3330,946
946,3330
3330,4247
4247,3330
3330,5
5,3330
1102,4047
4047,1102
1102,946
946,1102
1102,4247
4247,1102
1102,5
5,1102
4047,946
946,4047
4047,4247
4247,4047
4047,5
5,4047
946,4247
4247,946
946,5
5,946
4247,5
5,4247
2424,3318
3318,2424
2424,412
412,2424
2424,2228
2228,2424
3318,412
412,3318
3318,2228
2228,3318
412,2228
2228,412
4483,3418
3418,4483
4483,4259
4259,4483
4483,2850
2850,4483
4483,3160
3160,4483
4483,3522
3522,4483
4483,2101
2101,4483
4483,1589
1589,4483
4483,1590
1590,4483
4483,1238
1238,4483
4483,1239
1239,4483
4483,3161
3161,4483
4483,3162
3162,4483
4483,2927
2927,4483
4483,1558
1558,4483
4483,5
5,4483
4483,2583
2583,4483
4483,3348
3348,4483
4483,1670
1670,4483
4483,1669
1669,4483
4483,3979
3979,4483
3418,4259
4259,3418
3418,2850
2850,3418
3418,3160
3160,3418
3418,3522
3522,3418
3418,2101
2101,3418
3418,1589
1589,3418
3418,1590
1590,3418
3418,1238
1238,3418
3418,1239
1239,3418
3418,3161
3161,3418
3418,3162
3162,3418
3418,2927
2927,3418
3418,1558
1558,3418
3418,5
5,3418
3418,2583
2583,3418
3418,3348
3348,3418
3418,1670
1670,3418
3418,1669
1669,3418
3418,3979
3979,3418
4259,2850
2850,4259
4259,3160
3160,4259
4259,3522
3522,4259
4259,2101
2101,4259
4259,1589
1589,4259
4259,1590
1590,4259
4259,1238
1238,4259
4259,1239
1239,4259
4259,3161
3161,4259
4259,3162
3162,4259
4259,2927
2927,4259
4259,1558
1558,4259
4259,5
5,4259
4259,2583
2583,4259
4259,3348
3348,4259
4259,1670
1670,4259
4259,1669
1669,4259
4259,3979
3979,4259
2850,3160
3160,2850
2850,3522
3522,2850
2850,2101
2101,2850
2850,1589
1589,2850
2850,1590
1590,2850
2850,1238
1238,2850
2850,1239
1239,2850
2850,3161
3161,2850
2850,3162
3162,2850
2850,2927
2927,2850
2850,1558
1558,2850
2850,5
5,2850
2850,2583
2583,2850
2850,3348
3348,2850
2850,1670
1670,2850
2850,1669
1669,2850
2850,3979
3979,2850
3160,3522
3522,3160
3160,2101
2101,3160
3160,1589
1589,3160
3160,1590
1590,3160
3160,1238
1238,3160
3160,1239
1239,3160
3160,3161
3161,3160
3160,3162
3162,3160
3160,2927
2927,3160
3160,1558
1558,3160
3160,5
5,3160
3160,2583
2583,3160
3160,3348
3348,3160
3160,1670
1670,3160
3160,1669
1669,3160
3160,3979
3979,3160
3522,2101
2101,3522
3522,1589
1589,3522
3522,1590
1590,3522
3522,1238
1238,3522
3522,1239
1239,3522
3522,3161
3161,3522
3522,3162
3162,3522
3522,2927
2927,3522
3522,1558
1558,3522
3522,5
5,3522
3522,2583
2583,3522
3522,3348
3348,3522
3522,1670
1670,3522
3522,1669
1669,3522
3522,3979
3979,3522
2101,1589
1589,2101
2101,1590
1590,2101
2101,1238
1238,2101
2101,1239
1239,2101
2101,3161
3161,2101
2101,3162
3162,2101
2101,2927
2927,2101
2101,1558
1558,2101
2101,5
5,2101
2101,2583
2583,2101
2101,3348
3348,2101
2101,1670
1670,2101
2101,1669
1669,2101
2101,3979
3979,2101
1589,1590
1590,1589
1589,1238
1238,1589
1589,1239
1239,1589
1589,3161
3161,1589
1589,3162
3162,1589
1589,2927
2927,1589
1589,1558
1558,1589
1589,5
5,1589
1589,2583
2583,1589
1589,3348
3348,1589
1589,1670
1670,1589
1589,1669
1669,1589
1589,3979
3979,1589
1590,1238
1238,1590
1590,1239
1239,1590
1590,3161
3161,1590
1590,3162
3162,1590
1590,2927
2927,1590
1590,1558
1558,1590
1590,5
5,1590
1590,2583
2583,1590
1590,3348
3348,1590
1590,1670
1670,1590
1590,1669
1669,1590
1590,3979
3979,1590
1238,1239
1239,1238
1238,3161
3161,1238
1238,3162
3162,1238
1238,2927
2927,1238
1238,1558
1558,1238
1238,5
5,1238
1238,2583
2583,1238
1238,3348
3348,1238
1238,1670
1670,1238
1238,1669
1669,1238
1238,3979
3979,1238
1239,3161
3161,1239
1239,3162
3162,1239
1239,2927
2927,1239
1239,1558
1558,1239
1239,5
5,1239
1239,2583
2583,1239
1239,3348
3348,1239
1239,1670
1670,1239
1239,1669
1669,1239
1239,3979
3979,1239
3161,3162
3162,3161
3161,2927
2927,3161
3161,1558
1558,3161
3161,5
5,3161
3161,2583
2583,3161
3161,3348
3348,3161
3161,1670
1670,3161
3161,1669
1669,3161
3161,3979
3979,3161
3162,2927
2927,3162
3162,1558
1558,3162
3162,5
5,3162
3162,2583
2583,3162
3162,3348
3348,3162
3162,1670
1670,3162
3162,1669
1669,3162
3162,3979
3979,3162
2927,1558
1558,2927
2927,5
5,2927
2927,2583
2583,2927
2927,3348
3348,2927
2927,1670
1670,2927
2927,1669
1669,2927
2927,3979
3979,2927
1558,5
5,1558
1558,2583
2583,1558
1558,3348
3348,1558
1558,1670
1670,1558
1558,1669
1669,1558
1558,3979
3979,1558
5,2583
2583,5
5,3348
3348,5
5,1670
1670,5
5,1669
1669,5
5,3979
3979,5
2583,3348
3348,2583
2583,1670
1670,2583
2583,1669
1669,2583
2583,3979
3979,2583
3348,1670
1670,3348
3348,1669
1669,3348
3348,3979
3979,3348
1670,1669
1669,1670
1670,3979
3979,1670
1669,3979
3979,1669
514,513
513,514
4678,3297
3297,4678
4678,4538
4538,4678
4678,2747
2747,4678
3297,4538
4538,3297
3297,2747
2747,3297
4538,2747
2747,4538
3055,4520
4520,3055
2426,3536
3536,2426
1934,3703
3703,1934
1408,3703
3703,1408
3583,1934
1934,3583
3583,1408
1408,3583
3583,3703
3703,3583
1408,3703
3703,1408
3583,1408
1408,3583
3583,3703
3703,3583
617,4744
4744,617
617,1826
1826,617
4744,1826
1826,4744
1851,3711
3711,1851
1851,3467
3467,1851
1851,617
617,1851
1851,4744
4744,1851
1851,127
127,1851
1851,3330
3330,1851
1851,4047
4047,1851
1851,1680
1680,1851
1851,1682
1682,1851
1851,4122
4122,1851
3711,3467
3467,3711
3711,617
617,3711
3711,4744
4744,3711
3711,127
127,3711
3711,3330
3330,3711
3711,4047
4047,3711
3711,1680
1680,3711
3711,1682
1682,3711
3711,4122
4122,3711
3467,617
617,3467
3467,4744
4744,3467
3467,127
127,3467
3467,3330
3330,3467
3467,4047
4047,3467
3467,1680
1680,3467
3467,1682
1682,3467
3467,4122
4122,3467
617,4744
4744,617
617,127
127,617
617,3330
3330,617
617,4047
4047,617
617,1680
1680,617
617,1682
1682,617
617,4122
4122,617
4744,127
127,4744
4744,3330
3330,4744
4744,4047
4047,4744
4744,1680
1680,4744
4744,1682
1682,4744
4744,4122
4122,4744
127,3330
3330,127
127,4047
4047,127
127,1680
1680,127
127,1682
1682,127
127,4122
4122,127
3330,4047
4047,3330
3330,1680
1680,3330
3330,1682
1682,3330
3330,4122
4122,3330
4047,1680
1680,4047
4047,1682
1682,4047
4047,4122
4122,4047
1680,1682
1682,1680
1680,4122
4122,1680
1682,4122
4122,1682
1408,3703
3703,1408
1854,1534
1534,1854
1854,91
91,1854
1854,4726
4726,1854
1854,4164
4164,1854
1854,560
560,1854
1854,5030
5030,1854
1854,3703
3703,1854
1534,91
91,1534
1534,4726
4726,1534
1534,4164
4164,1534
1534,560
560,1534
1534,5030
5030,1534
1534,3703
3703,1534
91,4726
4726,91
91,4164
4164,91
91,560
560,91
91,5030
5030,91
91,3703
3703,91
4726,4164
4164,4726
4726,560
560,4726
4726,5030
5030,4726
4726,3703
3703,4726
4164,560
560,4164
4164,5030
5030,4164
4164,3703
3703,4164
560,5030
5030,560
560,3703
3703,560
5030,3703
3703,5030
3330,4047
4047,3330
3970,4901
4901,3970
3970,415
415,3970
3970,1936
1936,3970
3970,1929
1929,3970
3970,2108
2108,3970
4901,415
415,4901
4901,1936
1936,4901
4901,1929
1929,4901
4901,2108
2108,4901
415,1936
1936,415
415,1929
1929,415
415,2108
2108,415
1936,1929
1929,1936
1936,2108
2108,1936
1929,2108
2108,1929
1851,2165
2165,1851
1851,3711
3711,1851
1851,3467
3467,1851
1851,665
665,1851
1851,127
127,1851
1851,1936
1936,1851
1851,2522
2522,1851
1851,316
316,1851
1851,3330
3330,1851
1851,2324
2324,1851
1851,324
324,1851
1851,315
315,1851
1851,3639
3639,1851
1851,1683
1683,1851
1851,4047
4047,1851
1851,1492
1492,1851
1851,1177
1177,1851
1851,4589
4589,1851
1851,1680
1680,1851
1851,1657
1657,1851
1851,1647
1647,1851
1851,1643
1643,1851
1851,1644
1644,1851
1851,1689
1689,1851
1851,1658
1658,1851
1851,1682
1682,1851
1851,4122
4122,1851
2165,3711
3711,2165
2165,3467
3467,2165
2165,665
665,2165
2165,127
127,2165
