source,target
4443,1632
1632,4443
4443,3634
3634,4443
4443,339
339,4443
1632,3634
3634,1632
1632,339
339,1632
3634,339
339,3634
1857,2581
2581,1857
1857,385
385,1857
1857,4711
4711,1857
2581,385
385,2581
2581,4711
4711,2581
385,4711
4711,385
2859,4465
4465,2859
2859,4251
4251,2859
2859,719
719,2859
2859,4030
4030,2859
2859,4561
4561,2859
4465,4251
4251,4465
4465,719
719,4465
4465,4030
4030,4465
4465,4561
4561,4465
4251,719
719,4251
4251,4030
4030,4251
4251,4561
4561,4251
719,4030
4030,719
719,4561
4561,719
4030,4561
4561,4030
1856,1236
1236,1856
1856,2028
2028,1856
1856,1957
1957,1856
1856,88
88,1856
1856,4542
4542,1856
1856,3271
3271,1856
1856,1162
1162,1856
1856,3969
3969,1856
1236,2028
2028,1236
1236,1957
1957,1236
1236,88
88,1236
1236,4542
4542,1236
1236,3271
3271,1236
1236,1162
1162,1236
1236,3969
3969,1236
2028,1957
1957,2028
2028,88
88,2028
2028,4542
4542,2028
2028,3271
3271,2028
2028,1162
1162,2028
2028,3969
3969,2028
1957,88
88,1957
1957,4542
4542,1957
1957,3271
3271,1957
1957,1162
1162,1957
1957,3969
3969,1957
88,4542
4542,88
88,3271
3271,88
88,1162
1162,88
88,3969
3969,88
4542,3271
3271,4542
4542,1162
1162,4542
4542,3969
3969,4542
3271,1162
1162,3271
3271,3969
3969,3271
1162,3969
3969,1162
1236,2028
2028,1236
1236,4708
4708,1236
1236,1957
1957,1236
1236,88
88,1236
1236,4542
4542,1236
1236,3271
3271,1236
1236,1266
1266,1236
1236,1162
1162,1236
1236,2385
2385,1236
1236,3969
3969,1236
1236,4175
4175,1236
2028,4708
4708,2028
2028,1957
1957,2028
2028,88
88,2028
2028,4542
4542,2028
2028,3271
3271,2028
2028,1266
1266,2028
2028,1162
1162,2028
2028,2385
2385,2028
2028,3969
3969,2028
2028,4175
4175,2028
4708,1957
1957,4708
4708,88
88,4708
4708,4542
4542,4708
4708,3271
3271,4708
4708,1266
1266,4708
4708,1162
1162,4708
4708,2385
2385,4708
4708,3969
3969,4708
4708,4175
4175,4708
1957,88
88,1957
1957,4542
4542,1957
1957,3271
3271,1957
1957,1266
1266,1957
1957,1162
1162,1957
1957,2385
2385,1957
1957,3969
3969,1957
1957,4175
4175,1957
88,4542
4542,88
88,3271
3271,88
88,1266
1266,88
88,1162
1162,88
88,2385
2385,88
88,3969
3969,88
88,4175
4175,88
4542,3271
3271,4542
4542,1266
1266,4542
4542,1162
1162,4542
4542,2385
2385,4542
4542,3969
3969,4542
4542,4175
4175,4542
3271,1266
1266,3271
3271,1162
1162,3271
3271,2385
2385,3271
3271,3969
3969,3271
3271,4175
4175,3271
1266,1162
1162,1266
1266,2385
2385,1266
1266,3969
3969,1266
1266,4175
4175,1266
1162,2385
2385,1162
1162,3969
3969,1162
1162,4175
4175,1162
2385,3969
3969,2385
2385,4175
4175,2385
3969,4175
4175,3969
1856,1236
1236,1856
1856,2028
2028,1856
1856,1957
1957,1856
1856,88
88,1856
1856,1464
1464,1856
1856,4542
4542,1856
1856,3271
3271,1856
1856,1162
1162,1856
1856,3969
3969,1856
1236,2028
2028,1236
1236,1957
1957,1236
1236,88
88,1236
1236,1464
1464,1236
1236,4542
4542,1236
1236,3271
3271,1236
1236,1162
1162,1236
1236,3969
3969,1236
2028,1957
1957,2028
2028,88
88,2028
2028,1464
1464,2028
2028,4542
4542,2028
2028,3271
3271,2028
2028,1162
1162,2028
2028,3969
3969,2028
1957,88
88,1957
1957,1464
1464,1957
1957,4542
4542,1957
1957,3271
3271,1957
1957,1162
1162,1957
1957,3969
3969,1957
88,1464
1464,88
88,4542
4542,88
88,3271
3271,88
88,1162
1162,88
88,3969
3969,88
1464,4542
4542,1464
1464,3271
3271,1464
1464,1162
1162,1464
1464,3969
3969,1464
4542,3271
3271,4542
4542,1162
1162,4542
4542,3969
3969,4542
3271,1162
1162,3271
3271,3969
3969,3271
1162,3969
3969,1162
1856,1236
1236,1856
1856,2028
2028,1856
1856,1957
1957,1856
1856,88
88,1856
1856,4542
4542,1856
1856,3271
3271,1856
1856,1162
1162,1856
1856,3969
3969,1856
1236,2028
2028,1236
1236,1957
1957,1236
1236,88
88,1236
1236,4542
4542,1236
1236,3271
3271,1236
1236,1162
1162,1236
1236,3969
3969,1236
2028,1957
1957,2028
2028,88
88,2028
2028,4542
4542,2028
2028,3271
3271,2028
2028,1162
1162,2028
2028,3969
3969,2028
1957,88
88,1957
1957,4542
4542,1957
1957,3271
3271,1957
1957,1162
1162,1957
1957,3969
3969,1957
88,4542
4542,88
88,3271
3271,88
88,1162
1162,88
88,3969
3969,88
4542,3271
3271,4542
4542,1162
1162,4542
4542,3969
3969,4542
3271,1162
1162,3271
3271,3969
3969,3271
1162,3969
3969,1162
1236,2028
2028,1236
1236,2917
2917,1236
1236,1957
1957,1236
1236,88
88,1236
1236,4090
4090,1236
1236,1464
1464,1236
1236,4542
4542,1236
1236,3271
3271,1236
1236,2816
2816,1236
1236,1162
1162,1236
1236,3646
3646,1236
1236,3969
3969,1236
1236,2893
2893,1236
1236,2
2,1236
2028,2917
2917,2028
2028,1957
1957,2028
2028,88
88,2028
2028,4090
4090,2028
2028,1464
1464,2028
2028,4542
4542,2028
2028,3271
3271,2028
2028,2816
2816,2028
2028,1162
1162,2028
2028,3646
3646,2028
2028,3969
3969,2028
2028,2893
2893,2028
2028,2
2,2028
2917,1957
1957,2917
2917,88
88,2917
2917,4090
4090,2917
2917,1464
1464,2917
2917,4542
4542,2917
2917,3271
3271,2917
2917,2816
2816,2917
2917,1162
1162,2917
2917,3646
3646,2917
2917,3969
3969,2917
2917,2893
2893,2917
2917,2
2,2917
1957,88
88,1957
1957,4090
4090,1957
1957,1464
1464,1957
1957,4542
4542,1957
1957,3271
3271,1957
1957,2816
2816,1957
1957,1162
1162,1957
1957,3646
3646,1957
1957,3969
