source,target
4520,2168
2168,4520
4520,2017
2017,4520
4520,2579
2579,4520
4520,812
812,4520
4520,4330
4330,4520
4520,4329
4329,4520
4520,309
309,4520
2168,2017
2017,2168
2168,2579
2579,2168
2168,812
812,2168
2168,4330
4330,2168
2168,4329
4329,2168
2168,309
309,2168
2017,2579
2579,2017
2017,812
812,2017
2017,4330
4330,2017
2017,4329
4329,2017
2017,309
309,2017
2579,812
812,2579
2579,4330
4330,2579
2579,4329
4329,2579
2579,309
309,2579
812,4330
4330,812
812,4329
4329,812
812,309
309,812
4330,4329
4329,4330
4330,309
309,4330
4329,309
309,4329
1784,4157
4157,1784
1784,2521
2521,1784
1784,1390
1390,1784
1784,1389
1389,1784
4157,2521
2521,4157
4157,1390
1390,4157
4157,1389
1389,4157
2521,1390
1390,2521
2521,1389
1389,2521
1390,1389
1389,1390
4538,4324
4324,4538
4538,4113
4113,4538
4538,4635
4635,4538
4324,4113
4113,4324
4324,4635
4635,4324
4113,4635
4635,4113
1782,1173
1173,1782
1782,1959
1959,1782
1782,1885
1885,1782
1782,3298
3298,1782
1782,83
83,1782
1782,4612
4612,1782
1782,3372
3372,1782
1782,649
649,1782
1782,3331
3331,1782
1782,1101
1101,1782
1782,4037
4037,1782
1173,1959
1959,1173
1173,1885
1885,1173
1173,3298
3298,1173
1173,83
83,1173
1173,4612
4612,1173
1173,3372
3372,1173
1173,649
649,1173
1173,3331
3331,1173
1173,1101
1101,1173
1173,4037
4037,1173
1959,1885
1885,1959
1959,3298
3298,1959
1959,83
83,1959
1959,4612
4612,1959
1959,3372
3372,1959
1959,649
649,1959
1959,3331
3331,1959
1959,1101
1101,1959
1959,4037
4037,1959
1885,3298
3298,1885
1885,83
83,1885
1885,4612
4612,1885
1885,3372
3372,1885
1885,649
649,1885
1885,3331
3331,1885
1885,1101
1101,1885
1885,4037
4037,1885
3298,83
83,3298
3298,4612
4612,3298
3298,3372
3372,3298
3298,649
649,3298
3298,3331
3331,3298
3298,1101
1101,3298
3298,4037
4037,3298
83,4612
4612,83
83,3372
3372,83
83,649
649,83
83,3331
3331,83
83,1101
1101,83
83,4037
4037,83
4612,3372
3372,4612
4612,649
649,4612
4612,3331
3331,4612
4612,1101
1101,4612
4612,4037
4037,4612
3372,649
649,3372
3372,3331
3331,3372
3372,1101
1101,3372
3372,4037
4037,3372
649,3331
3331,649
649,1101
1101,649
649,4037
4037,649
3331,1101
1101,3331
3331,4037
4037,3331
1101,4037
4037,1101
1173,1959
1959,1173
1173,1885
1885,1173
1173,3298
3298,1173
1173,83
83,1173
1173,4612
4612,1173
1173,3372
3372,1173
1173,3331
3331,1173
1173,1210
1210,1173
1173,1101
1101,1173
1173,4037
4037,1173
1173,1714
1714,1173
1959,1885
1885,1959
1959,3298
3298,1959
1959,83
83,1959
1959,4612
4612,1959
1959,3372
3372,1959
1959,3331
3331,1959
1959,1210
1210,1959
1959,1101
1101,1959
1959,4037
4037,1959
1959,1714
1714,1959
1885,3298
3298,1885
1885,83
83,1885
1885,4612
4612,1885
1885,3372
3372,1885
1885,3331
3331,1885
1885,1210
1210,1885
1885,1101
1101,1885
1885,4037
4037,1885
1885,1714
1714,1885
3298,83
83,3298
3298,4612
4612,3298
3298,3372
3372,3298
3298,3331
3331,3298
3298,1210
1210,3298
3298,1101
1101,3298
3298,4037
4037,3298
3298,1714
1714,3298
83,4612
4612,83
83,3372
3372,83
83,3331
3331,83
83,1210
1210,83
83,1101
1101,83
83,4037
4037,83
83,1714
1714,83
4612,3372
3372,4612
4612,3331
3331,4612
4612,1210
1210,4612
4612,1101
1101,4612
4612,4037
4037,4612
4612,1714
1714,4612
3372,3331
3331,3372
3372,1210
1210,3372
3372,1101
1101,3372
3372,4037
4037,3372
3372,1714
1714,3372
3331,1210
1210,3331
3331,1101
1101,3331
3331,4037
4037,3331
3331,1714
1714,3331
1210,1101
1101,1210
1210,4037
4037,1210
1210,1714
1714,1210
1101,4037
4037,1101
1101,1714
1714,1101
4037,1714
1714,4037
1782,1173
1173,1782
1782,1959
1959,1782
1782,1885
1885,1782
1782,3298
3298,1782
1782,83
83,1782
1782,1426
1426,1782
1782,4612
4612,1782
1782,3372
3372,1782
1782,649
649,1782
1782,3331
3331,1782
1782,1101
1101,1782
1782,4037
4037,1782
1173,1959
1959,1173
1173,1885
1885,1173
1173,3298
3298,1173
1173,83
83,1173
1173,1426
1426,1173
1173,4612
4612,1173
1173,3372
3372,1173
1173,649
649,1173
1173,3331
3331,1173
1173,1101
1101,1173
1173,4037
4037,1173
1959,1885
1885,1959
1959,3298
3298,1959
1959,83
83,1959
1959,1426
1426,1959
1959,4612
4612,1959
1959,3372
3372,1959
1959,649
649,1959
1959,3331
3331,1959
1959,1101
1101,1959
1959,4037
4037,1959
1885,3298
3298,1885
1885,83
83,1885
1885,1426
1426,1885
1885,4612
4612,1885
1885,3372
3372,1885
1885,649
649,1885
1885,3331
3331,1885
1885,1101
1101,1885
1885,4037
4037,1885
3298,83
83,3298
3298,1426
1426,3298
3298,4612
4612,3298
3298,3372
3372,3298
3298,649
649,3298
3298,3331
3331,3298
3298,1101
1101,3298
3298,4037
4037,3298
83,1426
1426,83
83,4612
4612,83
83,3372
3372,83
83,649
649,83
83,3331
3331,83
83,1101
1101,83
83,4037
4037,83
1426,4612
4612,1426
1426,3372
3372,1426
1426,649
649,1426
1426,3331
3331,1426
1426,1101
1101,1426
1426,4037
4037,1426
4612,3372
3372,4612
4612,649
649,4612
4612,3331
3331,4612
4612,1101
1101,4612
4612,4037
4037,4612
3372,649
649,3372
3372,3331
3331,3372
3372,1101
1101,3372
3372,4037
4037,3372
649,3331
3331,649
649,1101
1101,649
649,4037
4037,649
3331,1101
1101,3331
3331,4037
4037,3331
1101,4037
4037,1101
1782,1173
1173,1782
1782,1959
1959,1782
1782,4313
4313,1782
1782,1885
1885,1782
1782,3298
3298,1782
1782,83
83,1782
1782,4612
4612,1782
1782,3372
3372,1782
1782,649
649,1782
1782,3331
3331,1782
1782,1101
1101,1782
1782,4037
4037,1782
1173,1959
1959,1173
1173,4313
4313,1173
1173,1885
1885,1173
1173,3298
3298,1173
1173,83
83,1173
1173,4612
4612,1173
1173,3372
3372,1173
1173,649
649,1173
1173,3331
3331,1173
1173,1101
1101,1173
1173,4037
4037,1173
1959,4313
4313,1959
1959,1885
1885,1959
1959,3298
3298,1959
1959,83
83,1959
1959,4612
4612,1959
1959,3372
3372,1959
1959,649
649,1959
1959,3331
3331,1959
1959,1101
1101,1959
1959,4037
4037,1959
4313,1885
1885,4313
4313,3298
3298,4313
4313,83
83,4313
4313,4612
4612,4313
4313,3372
3372,4313
4313,649
649,4313
4313,3331
3331,4313
4313,1101
1101,4313
4313,4037
4037,4313
1885,3298
3298,1885
1885,83
83,1885
1885,4612
4612,1885
1885,3372
3372,1885
1885,649
649,1885
1885,3331
3331,1885
1885,1101
1101,1885
1885,4037
4037,1885
3298,83
83,3298
3298,4612
4612,3298
3298,3372
3372,3298
3298,649
649,3298
3298,3331
3331,3298
3298,1101
1101,3298
3298,4037
4037,3298
83,4612
4612,83
83,3372
3372,83
83,649
649,83
83,3331
3331,83
83,1101
1101,83
83,4037
4037,83
4612,3372
3372,4612
4612,649
649,4612
4612,3331
3331,4612
4612,1101
1101,4612
4612,4037
4037,4612
3372,649
649,3372
3372,3331
3331,3372
3372,1101
1101,3372
3372,4037
4037,3372
649,3331
3331,649
649,1101
1101,649
649,4037
4037,649
3331,1101
1101,3331
3331,4037
4037,3331
1101,4037
4037,1101
1173,1959
1959,1173
1173,4560
4560,1173
1173,2891
2891,1173
1173,3498
3498,1173
1173,4313
4313,1173
1173,1885
1885,1173
1173,3298
3298,1173
1173,83
83,1173
1173,4166
4166,1173
1173,1426
1426,1173
1173,4612
4612,1173
1173,3372
3372,1173
1173,649
649,1173
1173,2399
2399,1173
1173,3331
3331,1173
1173,2791
2791,1173
1173,1101
1101,1173
1173,3705
3705,1173
1173,4037
4037,1173
1173,1714
1714,1173
1173,2868
2868,1173
1173,3337
3337,1173
1173,2
2,1173
1959,4560
4560,1959
1959,2891
2891,1959
1959,3498
3498,1959
1959,4313
4313,1959
1959,1885
1885,1959
1959,3298
3298,1959
1959,83
83,1959
1959,4166
4166,1959
1959,1426
1426,1959
1959,4612
4612,1959
1959,3372
3372,1959
1959,649
649,1959
1959,2399
2399,1959
1959,3331
3331,1959
1959,2791
2791,1959
1959,1101
1101,1959
1959,3705
3705,1959
1959,4037
4037,1959
1959,1714
1714,1959
1959,2868
2868,1959
1959,3337
3337,1959
1959,2
2,1959
4560,2891
2891,4560
4560,3498
3498,4560
4560,4313
4313,4560
4560,1885
1885,4560
4560,3298
3298,4560
4560,83
83,4560
4560,4166
4166,4560
4560,1426
1426,4560
4560,4612
4612,4560
4560,3372
3372,4560
4560,649
649,4560
4560,2399
2399,4560
4560,3331
3331,4560
4560,2791
2791,4560
4560,1101
1101,4560
4560,3705
3705,4560
4560,4037
4037,4560
4560,1714
1714,4560
4560,2868
2868,4560
4560,3337
3337,4560
4560,2
2,4560
2891,3498
3498,2891
2891,4313
4313,2891
2891,1885
1885,2891
2891,3298
3298,2891
2891,83
83,2891
2891,4166
4166,2891
2891,1426
1426,2891
2891,4612
4612,2891
2891,3372
3372,2891
2891,649
649,2891
2891,2399
2399,2891
2891,3331
3331,2891
2891,2791
2791,2891
2891,1101
1101,2891
2891,3705
3705,2891
2891,4037
4037,2891
2891,1714
1714,2891
2891,2868
2868,2891
2891,3337
3337,2891
2891,2
2,2891
3498,4313
4313,3498
3498,1885
1885,3498
3498,3298
3298,3498
3498,83
83,3498
3498,4166
4166,3498
3498,1426
1426,3498
3498,4612
4612,3498
3498,3372
3372,3498
3498,649
649,3498
3498,2399
2399,3498
3498,3331
3331,3498
3498,2791
2791,3498
3498,1101
1101,3498
3498,3705
3705,3498
3498,4037
4037,3498
3498,1714
1714,3498
3498,2868
2868,3498
3498,3337
3337,3498
3498,2
2,3498
4313,1885
1885,4313
4313,3298
3298,4313
4313,83
83,4313
4313,4166
4166,4313
4313,1426
1426,4313
4313,4612
4612,4313
4313,3372
3372,4313
4313,649
649,4313
4313,2399
2399,4313
4313,3331
3331,4313
4313,2791
2791,4313
4313,1101
1101,4313
4313,3705
3705,4313
4313,4037
4037,4313
4313,1714
1714,4313
4313,2868
2868,4313
4313,3337
3337,4313
4313,2
2,4313
1885,3298
3298,1885
1885,83
83,1885
1885,4166
4166,1885
1885,1426
1426,1885
1885,4612
4612,1885
1885,3372
3372,1885
1885,649
649,1885
1885,2399
2399,1885
1885,3331
3331,1885
1885,2791
2791,1885
1885,1101
1101,1885
1885,3705
3705,1885
1885,4037
4037,1885
1885,1714
1714,1885
1885,2868
2868,1885
1885,3337
3337,1885
1885,2
2,1885
3298,83
83,3298
3298,4166
4166,3298
3298,1426
1426,3298
3298,4612
4612,3298
3298,3372
3372,3298
3298,649
649,3298
3298,2399
2399,3298
